,Control_baseline_Bcell S-mem,Mild_convalescence_filtered,Mild_convalescence_Bcell CD21 Low,Mild_progression_Bcell naive,Control_baseline_Bcell US-mem,CVID_convalescence_filtered,Mild_progression_Bcell US-mem,Severe_convalescence_Bcell S-mem,CVID_progression_Bcell CD21 Low,Control_baseline_Bcell CD21 Low,Severe_progression_Bcell naive,CVID_baseline_Bcell naive,Mild_progression_filtered,CVID_convalescence_Bcell US-mem,Mild_convalescence_Bcell S-mem,Mild_convalescence_Plasma Bcells,Control_baseline_filtered,Control_baseline_Plasma Bcells,Severe_convalescence_filtered,CVID_progression_Bcell US-mem,Severe_progression_Bcell CD21 Low,CVID_progression_Plasma Bcells,CVID_baseline_filtered,Severe_progression_Bcell S-mem,CVID_progression_Bcell naive,CVID_convalescence_Bcell CD21 Low,CVID_progression_Bcell S-mem,CVID_convalescence_Bcell naive,Mild_progression_Bcell S-mem,Mild_convalescence_Bcell US-mem,Severe_progression_Bcell US-mem,Mild_convalescence_Bcell naive,Mild_progression_Plasma Bcells,CVID_progression_filtered,CVID_convalescence_Bcell S-mem,Severe_convalescence_Bcell naive,Severe_convalescence_Plasma Bcells,Mild_progression_Bcell CD21 Low,Severe_convalescence_Bcell US-mem,CVID_baseline_Bcell CD21 Low,Control_baseline_Bcell naive,Severe_progression_Plasma Bcells,CVID_baseline_Bcell S-mem,Severe_progression_filtered,CVID_baseline_Bcell US-mem,Severe_convalescence_Bcell CD21 Low
IGHV1-2,5,0,5,19,3,0,0,4,1,0,25,5,0,0,16,2,0,0,0,0,7,0,0,6,5,0,0,5,11,8,2,27,0,0,0,22,0,6,3,0,20,2,0,0,0,1
IGHV1-3,5,0,2,19,3,0,3,2,1,4,19,3,0,0,6,8,0,2,0,0,4,0,0,11,2,0,0,1,10,5,6,21,0,0,0,12,1,4,5,0,16,11,1,0,1,0
IGHV1-8,5,0,2,15,1,0,2,2,0,1,17,1,0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,4,3,0,1,18,0,0,0,10,1,1,2,0,12,3,0,0,2,0
IGHV1-18,19,0,2,46,5,0,4,11,1,2,44,7,0,0,12,2,0,2,0,0,3,0,0,15,1,0,0,4,13,4,6,40,4,0,0,38,1,5,4,1,37,8,1,0,1,2
IGHV1-24,5,0,1,12,0,0,1,1,0,0,11,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,3,0,0,12,0,0,0,5,0,0,1,0,11,41,0,1,0,0
IGHV1-45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IGHV1-46,8,0,2,27,3,0,2,16,0,2,30,3,0,0,4,2,0,1,0,0,4,0,0,4,3,0,0,0,6,3,3,36,3,1,0,17,2,2,2,1,16,13,0,0,1,3
IGHV1-58,0,0,0,6,0,0,1,1,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,6,0,0,0,3,0,2,1,0,5,2,0,1,0,0
IGHV1-69,0,0,0,7,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
IGHV1-69-2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV1-69D,10,0,0,69,0,0,0,8,1,1,41,5,0,0,6,1,0,2,0,0,2,1,0,11,8,1,0,9,11,4,2,54,0,0,0,32,1,3,2,2,33,6,1,0,0,5
IGHV1/OR15-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV2-5,12,0,0,19,5,0,1,7,0,0,26,2,0,2,7,0,0,1,1,0,3,0,0,10,1,0,0,3,5,6,2,17,0,0,0,14,0,3,4,0,20,5,1,0,0,1
IGHV2-26,0,0,0,8,0,0,0,0,0,0,7,1,1,2,0,1,0,0,0,0,1,0,0,2,2,0,0,3,0,3,0,12,0,0,0,8,1,1,0,0,8,1,0,0,0,0
IGHV2-70,6,0,1,16,0,0,2,1,0,1,13,1,0,0,4,0,0,2,0,0,2,0,0,3,0,1,0,0,1,0,1,8,0,0,0,8,0,1,4,0,5,28,0,0,0,0
IGHV3-7,25,1,2,34,12,0,12,21,1,5,31,0,0,1,23,2,0,2,1,0,4,0,0,15,3,2,0,8,9,12,155,37,4,0,0,22,4,4,13,1,28,17,2,1,4,0
IGHV3-11,7,0,4,32,6,0,1,3,0,1,27,4,1,0,5,1,0,1,0,0,6,0,0,5,1,2,0,5,4,7,7,35,1,0,0,17,2,4,11,0,27,6,0,0,0,1
IGHV3-13,2,0,0,7,2,0,1,1,0,4,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,0,0,0,3,0,0,2,0,6,2,0,0,0,1
IGHV3-15,10,1,4,32,13,0,4,8,0,2,23,2,0,2,9,4,0,2,0,0,5,0,0,5,6,1,0,9,9,7,9,31,3,0,0,24,4,4,10,0,26,13,0,0,0,4
IGHV3-20,5,0,1,4,3,0,1,6,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,3,1,2,9,0,0,0,9,0,0,5,0,4,7,0,0,1,1
IGHV3-21,12,0,5,68,5,0,8,12,4,1,42,6,2,1,14,5,0,2,1,1,11,0,1,11,5,0,0,10,9,10,6,55,0,0,0,45,0,4,7,1,38,8,0,1,3,4
IGHV3-23,54,1,12,99,36,2,17,38,1,5,63,16,0,2,44,22,0,3,1,1,10,0,0,25,6,5,2,10,29,28,38,112,1,1,0,97,19,9,46,1,40,17,1,0,1,15
IGHV3-30,19,0,7,63,12,1,10,9,4,10,39,8,1,0,23,5,1,2,0,1,6,0,0,6,5,3,0,13,13,15,3,50,2,0,0,17,1,12,13,2,68,1,1,0,0,3
IGHV3-33,35,0,8,116,20,1,14,18,2,11,100,13,3,2,19,4,1,6,0,1,13,0,0,31,15,2,0,25,20,16,24,103,2,0,0,103,5,8,23,4,77,41,0,0,2,12
IGHV3-43,7,0,1,41,9,0,4,7,0,0,38,5,0,0,1,1,0,1,0,0,4,0,0,15,1,1,0,6,5,4,10,33,0,0,0,18,1,4,8,0,44,100,0,0,0,1
IGHV3-48,12,0,3,49,8,0,11,11,0,1,29,1,0,1,13,5,0,2,0,1,2,0,0,16,4,0,0,13,12,6,12,38,2,0,0,24,8,5,3,0,25,26,0,0,0,4
IGHV3-49,2,0,0,13,1,0,1,7,0,1,15,1,0,0,4,1,0,0,3,0,3,0,0,2,3,0,0,3,5,5,3,14,0,0,0,9,2,3,7,1,12,3,0,0,0,0
IGHV3-53,5,0,1,16,1,0,1,1,0,3,18,2,0,1,7,3,0,1,0,0,1,0,0,6,2,0,0,2,7,4,4,26,2,0,0,9,1,3,3,0,11,16,1,0,1,2
IGHV3-64,1,0,0,6,5,0,1,3,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,3,0,0,0,2,1,0,1,0,2,2,0,0,0,1
IGHV3-64D,4,0,0,7,2,0,1,1,0,0,8,1,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,2,3,2,0,0,7,0,1,2,0,4,0,0,0,0,1
IGHV3-66,4,0,1,20,7,0,1,6,0,0,13,0,0,0,3,1,0,0,0,0,4,0,0,2,1,0,0,0,4,4,5,9,0,0,0,15,1,2,4,0,7,1,0,0,0,0
IGHV3-72,1,0,0,3,4,0,3,4,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,3,2,3,2,1,0,0,1,2,0,0,0,5,2,0,0,0,2
IGHV3-73,0,0,0,11,2,0,1,1,0,1,6,0,0,0,3,1,0,0,0,0,1,0,0,2,1,0,0,2,1,2,1,10,0,0,0,6,0,2,3,1,1,2,0,0,0,0
IGHV3-74,13,0,3,17,15,0,4,9,1,0,15,3,0,0,17,4,0,2,0,2,2,0,0,12,1,0,1,2,7,14,14,11,2,0,0,10,2,3,15,1,13,3,0,0,0,2
IGHV3/OR16-8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IGHV3/OR16-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV4-4,2,0,4,33,0,0,2,8,0,1,23,1,1,2,16,0,0,0,0,0,5,0,0,9,1,1,0,13,5,1,5,29,1,0,0,12,0,2,5,1,8,11,1,0,1,0
IGHV4-28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1
IGHV4-30-2,5,0,1,41,7,0,1,2,0,2,15,0,0,0,6,4,0,3,0,0,4,0,0,4,0,0,0,0,5,9,4,49,3,0,0,20,1,5,0,0,40,1,0,1,0,4
IGHV4-30-4,0,0,0,0,0,0,0,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0
IGHV4-31,5,0,0,34,1,0,2,3,0,3,2,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,1,6,0,1,19,1,0,0,3,0,4,1,0,19,0,0,0,0,1
IGHV4-34,10,0,5,97,4,0,8,10,3,3,72,18,0,6,13,6,0,0,1,3,11,0,0,3,25,3,0,22,7,9,14,74,0,0,0,43,4,5,6,2,44,8,0,0,0,5
IGHV4-38-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV4-39,19,1,4,86,10,0,14,23,3,2,57,7,0,1,13,10,0,2,0,0,8,0,0,16,8,0,1,19,21,20,21,85,2,0,0,62,4,6,19,2,51,14,0,0,2,5
