,CVID_baseline_NKT-like,CVID_progression_Cl. mono IFN,CVID_progression_Bcell US-mem,CVID_baseline_Bcell naive,CVID_baseline_Non-classical monocytes,CVID_convalescence_Bcell US-mem,CVID_progression_filtered,CVID_progression_Non-classical monocytes,CVID_convalescence_Bcell S-mem,CVID_convalescence_Non-classical monocytes,CVID_progression_NKT-like,CVID_baseline_Bcell CD21 Low,CVID_progression_Plasma Bcells,CVID_baseline_Bcell S-mem,CVID_convalescence_filtered,CVID_baseline_filtered,CVID_convalescence_Classical monocytes,CVID_progression_Intermediate monocytes,CVID_baseline_Bcell US-mem,CVID_baseline_Intermediate monocytes,CVID_baseline_Cl. mono S100A8,CVID_progression_Bcell naive,CVID_convalescence_Bcell CD21 Low,CVID_progression_Bcell S-mem,CVID_convalescence_Bcell naive,CVID_progression_Bcell CD21 Low,CVID_progression_NK CD16
IGHV1-2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,17,0,0,0,0,0,5,0,0,5,1,0
IGHV1-3,0,0,0,3,0,0,9,0,0,0,0,0,0,1,9,27,0,0,1,0,0,2,0,0,1,1,0
IGHV1-8,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,4,0,0
IGHV1-18,0,0,0,7,0,0,24,0,0,0,0,1,0,1,14,36,0,0,1,0,0,1,0,0,4,1,0
IGHV1-24,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,13,0,0,0,0,0,1,0,0,2,0,0
IGHV1-46,0,0,0,3,0,0,8,0,0,0,0,1,0,0,2,18,0,0,1,0,0,3,0,0,0,0,0
IGHV1-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0
IGHV1-69,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0
IGHV1-69D,1,0,0,5,0,0,38,0,0,0,0,2,1,1,20,70,0,0,0,0,0,8,1,0,9,1,0
IGHV2-5,0,0,0,2,0,2,15,0,0,0,0,0,0,1,3,17,0,0,0,0,0,1,0,0,3,0,0
IGHV2-26,0,0,0,1,0,2,6,0,0,0,0,0,0,0,2,7,0,0,0,0,0,2,0,0,3,0,0
IGHV2-70,0,0,0,1,0,0,7,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,1,0,0,0,0
IGHV3-7,0,0,0,0,0,1,28,0,0,0,0,1,0,2,10,45,0,0,4,0,0,3,2,0,8,1,0
IGHV3-11,0,0,0,4,0,0,15,0,0,0,0,0,0,0,7,21,0,0,0,0,0,1,2,0,5,0,0
IGHV3-13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
IGHV3-15,0,0,0,2,0,2,56,0,0,0,0,0,0,0,11,83,1,0,0,0,0,6,1,0,9,0,1
IGHV3-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
IGHV3-21,0,0,1,6,0,1,25,0,0,0,0,1,0,0,16,51,0,0,3,0,0,5,0,0,10,4,0
IGHV3-23,0,0,1,16,0,2,48,0,0,0,0,1,0,1,31,110,0,0,1,0,0,6,5,2,10,1,0
IGHV3-30,0,0,1,8,0,0,70,0,0,0,0,2,0,1,28,92,0,0,0,0,0,5,3,0,13,4,0
IGHV3-33,0,0,1,13,0,2,93,0,0,0,0,4,0,0,43,150,0,0,2,0,0,15,2,0,25,2,0
IGHV3-43,0,0,0,5,0,0,23,0,0,0,0,0,0,0,3,37,0,0,0,0,0,1,1,0,6,0,0
IGHV3-48,0,0,1,1,0,1,35,0,0,0,0,0,0,0,18,64,0,0,0,0,0,4,0,0,13,0,0
IGHV3-49,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5,5,0,0,0,0,0,3,0,0,3,0,0
IGHV3-53,0,0,0,2,0,1,1,0,0,0,0,0,0,1,2,22,0,0,1,0,0,2,0,0,2,0,0
IGHV3-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3-64D,0,0,1,1,0,0,4,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0
IGHV3-66,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0
IGHV3-72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
IGHV3-73,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,17,0,0,0,0,0,1,0,0,2,0,0
IGHV3-74,0,0,2,3,0,0,11,0,0,0,0,1,0,0,5,16,0,0,0,0,0,1,0,1,2,1,0
IGHV4-4,0,0,0,1,1,2,28,0,0,0,0,1,0,1,11,39,0,0,1,0,0,1,1,0,13,0,0
IGHV4-30-4,1,0,0,8,0,2,23,0,1,0,0,1,0,1,19,63,0,0,3,1,1,3,1,0,16,1,0
IGHV4-31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,1,0,0
IGHV4-34,0,1,3,18,0,6,54,1,0,0,1,2,0,0,69,158,0,0,0,0,0,25,3,0,22,3,0
IGHV4-38-2,0,0,0,0,0,1,8,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,1,0,0
IGHV4-39,0,0,0,7,0,1,41,0,0,1,0,2,0,0,10,96,0,0,2,0,0,8,0,1,19,3,0
IGHV4-59,0,0,2,12,0,3,36,0,0,0,0,3,0,0,45,88,0,0,1,0,0,10,2,0,8,0,0
IGHV4-61,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,2,0,0
IGHV4/OR15-8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IGHV5-10-1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,12,0,0,0,0,0,0,0,0,1,0,0
IGHV5-51,0,0,0,4,0,2,13,0,0,0,0,0,0,0,5,18,0,0,4,0,0,3,1,0,1,2,0
IGHV6-1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,2,0,0
IGHV7-4-1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0
nan,0,0,0,5,0,0,26,0,0,0,1,0,0,0,12,119,1,1,0,0,0,2,0,0,0,0,0
