,P1 Base,P1 Prog,P1 Conv,P2 Base,P2 Prog,P2 Conv,P3 Base,P3 Prog,P3 Conv,P4 Base,P4 Prog,P4 Conv,P5 Base,P5 Prog,P5 Conv
None,2938,3060,5394,3266,3430,2603,1778,1953,1860,3340,2459,2446,1961,1245,1409
T_rare_clonotype,2052,842,2155,464,1451,842,512,1820,1610,741,491,705,472,272,373
B_rare_clonotype,0,0,0,0,0,165,3,4,1,216,177,130,15,4,7
T_clonotype1,0,564,106,3,0,0,0,0,0,0,0,0,0,0,0
T_clonotype4,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype5,0,477,147,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype3,0,0,0,0,0,0,2,0,2,104,291,216,0,2,4
T_clonotype2,254,75,189,5,2,0,0,0,0,0,0,0,0,0,0
T_clonotype7,5,0,0,41,307,167,0,0,0,0,0,0,0,0,0
T_clonotype6,5,0,0,48,308,152,0,2,0,0,0,0,3,0,0
T_clonotype9,0,494,15,1,0,0,0,0,0,0,0,0,0,0,0
T_clonotype8,2,0,0,58,310,125,0,0,0,0,0,0,1,0,0
T_clonotype12,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype13,0,0,0,0,0,0,1,0,0,119,195,106,2,1,1
T_clonotype11,0,0,0,0,0,1,23,261,133,0,0,1,2,0,0
T_clonotype10,177,42,174,1,3,0,0,0,0,0,0,0,0,0,0
T_clonotype14,112,63,127,4,2,0,0,0,0,0,0,0,0,0,0
T_clonotype15,243,7,33,0,4,0,0,0,0,0,0,0,0,0,0
T_clonotype16,0,0,0,0,0,0,9,169,105,0,0,1,2,1,0
T_clonotype18,0,0,0,0,0,2,1,0,0,47,121,88,0,0,1
T_clonotype20,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype22,0,0,0,0,0,0,0,0,0,69,87,68,0,0,1
T_clonotype23,104,45,61,1,1,0,0,0,0,0,0,0,0,0,0
T_clonotype24,0,180,27,2,0,0,0,0,0,0,0,0,0,0,0
T_clonotype17,64,48,95,1,0,0,0,0,0,0,0,0,0,0,0
T_clonotype26,0,0,0,0,0,3,0,0,0,12,110,61,0,0,1
T_clonotype21,54,37,93,3,0,0,0,0,0,0,0,0,0,0,0
T_clonotype25,0,2,182,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype27,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype29,0,0,0,0,0,0,0,0,0,42,77,48,0,0,0
T_clonotype31,0,0,0,0,0,0,0,0,0,66,60,41,0,0,0
T_clonotype32,0,0,0,0,0,0,2,0,0,13,93,56,0,0,0
T_clonotype30,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype33,0,0,0,0,0,1,8,101,52,0,0,0,0,1,0
T_clonotype38,0,0,0,0,0,0,22,65,63,1,0,0,0,0,0
T_clonotype28,0,103,43,1,0,0,0,0,0,0,0,0,0,0,0
T_clonotype34,109,5,30,1,0,0,0,0,0,0,0,0,0,0,0
T_clonotype36,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype35,0,0,0,0,0,0,1,0,1,97,22,15,0,1,0
T_clonotype39,0,41,95,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype19,2,0,0,81,21,22,0,2,0,0,0,0,1,0,0
T_clonotype41,0,0,0,0,0,0,38,48,33,0,0,0,0,0,0
