,CVID1,CVID2,CVID4,S-M044,S-M050,S-M051,S-M052,S-M055,S-S062,S-S064,S-S065,S-S067,S-S068,cvidsum,ncvidsum,enrichment,hypergeo,ttest
IGHV1-2,0,3,3,0,0,20,22,17,3,9,0,0,18,6,89,0.41358524516419254,0.012328320549373455,0.4723566729529689
IGHV1-3,9,1,0,9,12,15,5,2,2,0,5,7,7,10,64,0.884923384923385,0.8214426686960642,0.37904331888217824
IGHV1-8,0,2,2,9,1,3,9,5,2,1,5,3,4,4,42,0.5694289607333085,0.2948051830387083,0.5546103643518993
IGHV1-18,11,4,3,14,9,9,17,11,4,7,12,3,31,18,117,0.8731244064577398,0.6214899459498157,0.3944952046388903
IGHV1-24,2,1,1,4,6,3,1,0,1,0,2,1,3,4,21,1.0477492877492878,0.6637485441715274,0.7514003806648994
IGHV1-45,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0.0,1.4357501855761905,0.44622494995013207
IGHV1-46,2,0,0,10,11,10,9,7,1,0,12,6,21,2,87,0.1471557988411921,0.00010125383780548023,0.009352826338947164
IGHV1-58,1,0,0,0,2,3,1,1,0,1,0,0,4,1,12,0.5037256191102345,0.7748260897473107,0.28047347801850697
IGHV1-69,0,0,1,1,1,0,0,0,0,0,0,1,0,1,3,1.6371082621082622,0.22596746261746614,0.3070616558113158
IGHV1-69-2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,7,0.0,0.6264735902784833,0.5352259114071384
IGHV1-69D,20,6,4,18,11,17,7,12,8,4,8,11,17,30,113,1.3737971430279123,0.047919909305501385,0.49414348324113133
IGHV1/OR15-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1.6945834239818487,0.6059170329263488
IGHV2-5,3,3,2,6,8,6,9,2,1,1,11,6,8,8,58,0.793749460416127,0.6062050652244934,0.7613179211595529
IGHV2-26,2,2,3,6,4,4,0,2,3,2,0,2,2,7,25,1.4324697293447293,0.20631799202701484,0.3374543058550902
IGHV2-70,3,0,1,3,1,1,3,5,3,2,4,4,0,4,26,0.8731244064577398,1.0148932230410401,0.3460004554357322
IGHV3-7,9,5,7,14,16,14,20,14,3,4,22,9,24,21,140,0.8541434410999629,0.4994293514641694,0.9187110220244447
IGHV3-11,6,2,5,10,15,11,8,9,3,4,8,10,9,13,87,0.8512962962962963,0.6358745911306979,0.6419646247098147
IGHV3-13,0,2,0,1,2,1,3,1,0,0,2,2,3,2,15,0.7704038880509468,1.0136243877386861,0.9420131885359204
IGHV3-15,8,12,3,5,13,17,9,13,3,8,9,5,26,23,108,1.1497248863661078,0.384988924773781,0.4448451033246278
IGHV3-20,0,0,0,2,5,0,5,0,2,2,3,0,14,0,33,0.0,0.00826191788015957,0.06385182360505613
IGHV3-21,16,8,3,16,20,23,15,15,5,8,9,8,40,27,159,0.9505789909015715,0.8678259565350154,0.552854374328972
IGHV3-23,25,12,11,34,29,71,59,29,12,10,45,27,129,48,445,0.6375756314904388,0.00019966787328231197,0.12394925465444843
IGHV3-30,27,11,6,13,7,20,53,10,5,2,17,0,19,44,146,1.516479232268706,0.0024551104208074825,0.18810233298764173
IGHV3-33,42,20,10,35,51,20,31,15,15,15,25,16,92,72,315,1.2183131252898696,0.052136566676685536,0.3447918483054382
IGHV3-43,3,7,0,10,9,6,8,10,2,3,12,2,16,10,78,0.7441401191401191,0.3831547513668754,0.5954831113932999
IGHV3-48,18,9,4,15,11,15,14,14,1,8,11,9,24,31,122,1.3268066960877418,0.0705239696630846,0.19486879485453773
IGHV3-49,5,0,3,7,2,2,8,5,0,2,7,5,14,8,52,0.8731244064577398,0.841794625216208,0.8939414021669532
IGHV3-53,2,0,3,9,10,17,1,4,1,7,2,6,1,5,58,0.5197169086057974,0.13038056156654895,0.38871474999840006
IGHV3-64,2,0,0,2,0,1,2,1,1,0,3,1,3,2,14,0.8185541310541311,1.0977847927779645,0.2936839281987242
IGHV3-64D,2,0,0,1,1,0,2,1,2,2,0,2,5,2,16,0.7276036720481165,0.93279977284409,0.2704420798594254
IGHV3-66,4,0,0,4,0,1,8,5,3,1,9,2,13,4,46,0.5238746438746439,0.20299842805373772,0.12125038139733002
IGHV3-72,0,0,0,1,2,2,0,1,0,0,3,3,3,0,15,0.0,0.1658564708938175,0.1346392137024787
IGHV3-73,3,2,0,6,0,4,1,6,0,2,2,1,6,5,28,0.9921868255201588,1.2178647690608293,0.8346877947468166
IGHV3-74,5,2,0,11,8,12,6,14,0,3,15,7,14,7,90,0.4725673333920757,0.025757351809471935,0.07498385495013496
IGHV3/OR16-8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.6945834239818487,0.6059170329263487
IGHV3/OR16-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.6945834239818487,0.6059170329263488
IGHV4-4,10,12,5,18,6,15,7,4,0,0,6,0,22,27,78,1.683882783882784,0.003245432288585537,0.018716257682557528
IGHV4-28,0,0,0,0,1,0,3,0,0,0,0,0,7,0,11,0.0,0.32244414193620835,0.37567111965407285
IGHV4-30-4,18,13,6,3,14,19,24,9,4,2,3,2,16,37,96,1.821744532270848,0.00010380354123351587,0.008059864012000725
IGHV4-31,0,1,0,11,3,1,8,1,1,0,3,0,5,1,33,0.1926009720127367,0.050197848995258566,0.2559283214591233
IGHV4-34,67,11,21,20,24,17,23,25,6,9,11,9,34,99,178,2.3404146996204758,1.0149436846518256e-11,0.0008674737262044129
IGHV4-38-2,5,2,1,0,0,0,0,0,0,0,0,0,0,8,0,6.548433048433049,0.0,2.2145639510552238e-08
IGHV4-39,9,12,9,29,32,29,26,19,11,12,25,18,47,30,248,0.7066654368812643,0.03380412107897769,0.169461052127088
IGHV4-59,42,8,8,35,12,19,31,30,11,15,28,17,64,58,262,1.18690349002849,0.1255483279018308,0.9527055590657085
IGHV4-61,2,1,1,15,5,12,11,2,5,1,3,3,8,4,65,0.37961930715553904,0.02727594040525365,0.12331947372130604
IGHV4/OR15-8,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0.0,1.216403802490756,0.37655962711762414
IGHV5-10-1,2,0,1,9,5,5,7,10,4,0,0,3,9,3,52,0.3571872571872572,0.04566816036357606,0.13929807045454257
IGHV5-51,5,1,3,14,16,15,15,11,9,1,18,12,30,9,141,0.3929059829059829,0.0006742030009905042,0.03129436781943664
IGHV6-1,1,3,1,4,11,5,6,3,3,2,5,3,6,5,48,0.6177767026823631,0.31816835562487944,0.30148077330123335
IGHV7-4-1,1,0,1,14,10,5,1,0,0,0,5,9,0,2,44,0.28471448036665425,0.041084370873155175,0.3432073545997343
