,feature_types
MIR1302-2HG,Gene Expression
AL627309.1,Gene Expression
AL627309.3,Gene Expression
AL627309.2,Gene Expression
AL669831.2,Gene Expression
FAM87B,Gene Expression
LINC00115,Gene Expression
FAM41C,Gene Expression
AL645608.2,Gene Expression
SAMD11,Gene Expression
NOC2L,Gene Expression
KLHL17,Gene Expression
PLEKHN1,Gene Expression
PERM1,Gene Expression
AL645608.7,Gene Expression
HES4,Gene Expression
ISG15,Gene Expression
AL645608.1,Gene Expression
AGRN,Gene Expression
AL645608.8,Gene Expression
RNF223,Gene Expression
C1orf159,Gene Expression
LINC01342,Gene Expression
AL390719.2,Gene Expression
TTLL10-AS1,Gene Expression
TTLL10,Gene Expression
TNFRSF18,Gene Expression
TNFRSF4,Gene Expression
SDF4,Gene Expression
B3GALT6,Gene Expression
C1QTNF12,Gene Expression
AL162741.1,Gene Expression
UBE2J2,Gene Expression
LINC01786,Gene Expression
SCNN1D,Gene Expression
ACAP3,Gene Expression
PUSL1,Gene Expression
INTS11,Gene Expression
CPTP,Gene Expression
TAS1R3,Gene Expression
DVL1,Gene Expression
MXRA8,Gene Expression
AURKAIP1,Gene Expression
CCNL2,Gene Expression
MRPL20,Gene Expression
ANKRD65,Gene Expression
TMEM88B,Gene Expression
LINC01770,Gene Expression
VWA1,Gene Expression
ATAD3C,Gene Expression
ATAD3B,Gene Expression
ATAD3A,Gene Expression
TMEM240,Gene Expression
SSU72,Gene Expression
AL645728.1,Gene Expression
FNDC10,Gene Expression
AL691432.2,Gene Expression
MIB2,Gene Expression
MMP23B,Gene Expression
CDK11B,Gene Expression
FO704657.1,Gene Expression
SLC35E2B,Gene Expression
CDK11A,Gene Expression
SLC35E2A,Gene Expression
NADK,Gene Expression
GNB1,Gene Expression
AL109917.1,Gene Expression
CALML6,Gene Expression
TMEM52,Gene Expression
CFAP74,Gene Expression
GABRD,Gene Expression
AL391845.1,Gene Expression
PRKCZ,Gene Expression
AL590822.2,Gene Expression
PRKCZ-AS1,Gene Expression
FAAP20,Gene Expression
AL590822.1,Gene Expression
SKI,Gene Expression
MORN1,Gene Expression
RER1,Gene Expression
PEX10,Gene Expression
AL139246.1,Gene Expression
AL139246.4,Gene Expression
AL139246.5,Gene Expression
AL139246.3,Gene Expression
AC242022.1,Gene Expression
PRDM16,Gene Expression
AL590438.1,Gene Expression
ARHGEF16,Gene Expression
AL512413.1,Gene Expression
MEGF6,Gene Expression
AL513320.1,Gene Expression
TPRG1L,Gene Expression
WRAP73,Gene Expression
TP73,Gene Expression
CCDC27,Gene Expression
SMIM1,Gene Expression
LRRC47,Gene Expression
AL365330.1,Gene Expression
CEP104,Gene Expression
DFFB,Gene Expression
C1orf174,Gene Expression
LINC01134,Gene Expression
LINC01346,Gene Expression
AL805961.1,Gene Expression
AJAP1,Gene Expression
AL365255.1,Gene Expression
