,S-HC008_baseline,S-HC010_baseline,S-HC013_baseline,S-HC014_baseline,S-M046_progression,S-M044_progression,S-M067_progression,S-M047_progression,baseline,progression,enrichment,hypergeo,ttest
IGHV1-2,3,20,4,1,7,0,28,1,28,36,1.0214108910891089,1.2464408377105696,0.9565681516628048
IGHV1-3,10,0,5,15,1,20,13,3,30,37,1.0027781882665878,1.1154417333270186,0.7294320510088199
IGHV1-8,4,2,6,7,1,9,9,2,19,21,0.9533168316831683,1.377118127629446,0.4385404577845135
IGHV1-18,13,14,13,25,10,25,28,9,65,72,0.954310905543109,1.5111907415278938,0.7992374161026541
IGHV1-24,4,6,3,3,2,8,6,0,16,16,0.907920792079208,1.552378363459376,0.24565344049816532
IGHV1-45,0,0,1,0,0,0,0,0,1,0,0.0,2.0,0.35591768374958205
IGHV1-46,7,6,6,11,10,16,13,2,30,41,1.048584576767536,1.4347547991090563,0.6386834989147362
IGHV1-58,0,3,1,1,1,2,5,2,5,10,1.2105610561056106,1.7579647614148883,0.2603989258497136
IGHV1-69,0,0,1,0,1,0,12,0,1,13,1.686138613861386,1.9995374935093513,0.3129435292167235
IGHV1-69-2,0,0,0,1,0,4,0,0,1,4,1.4526732673267326,1.8989181619622668,0.5411970780576865
IGHV1-69D,2,16,3,25,11,38,20,14,46,83,1.168332182055415,1.9763315701091455,0.12251690285845804
IGHV1/OR15-1,1,0,0,0,0,0,0,0,1,0,0.0,2.0,0.35591768374958205
IGHV2-5,9,8,9,12,4,14,9,1,38,28,0.7703570357035704,1.9724646743314094,0.029172295882727253
IGHV2-26,0,2,1,5,0,3,6,1,8,10,1.0088008800880088,1.2129268369158024,0.9745150910542576
IGHV2-70,4,3,3,4,6,3,8,3,14,20,1.0681421083284799,1.458468958710141,0.3852653616800999
IGHV3-7,17,18,20,17,10,23,20,10,72,63,0.8473927392739274,1.9627641506754436,0.3112855103859392
IGHV3-11,5,12,11,15,10,19,11,3,43,43,0.907920792079208,1.7135829680576333,0.7527449781771098
IGHV3-13,2,7,0,5,1,3,6,0,14,10,0.7566006600660066,1.8734895100368307,0.3246491486652363
IGHV3-15,8,12,12,21,7,22,16,7,53,52,0.8992739273927393,1.7914864737516234,0.42225510058972965
IGHV3-20,2,1,8,2,2,3,3,0,13,8,0.6917491749174918,1.926129354404451,0.37164037243448805
IGHV3-21,9,14,12,23,12,34,30,15,58,91,1.1090039205262807,1.888918883143633,0.1029180149447315
IGHV3-23,27,36,39,36,21,44,71,20,138,156,0.9635077793493635,1.5669699120554903,0.7347829531471758
IGHV3-30,19,19,20,54,5,34,58,4,112,101,0.8610328638497653,1.9826196070163726,0.14133705720258088
IGHV3-33,19,21,25,85,6,73,72,12,150,163,0.945629962357258,1.758965477284726,0.5677380939215138
IGHV3-43,13,18,11,19,7,20,23,4,61,54,0.852656048213517,1.9382853139515308,0.014713372183077604
IGHV3-48,12,14,13,9,6,31,26,17,48,80,1.13490099009901,1.9311863762719763,0.399986658554883
IGHV3-49,2,4,2,8,6,6,9,1,16,22,1.0512767066180302,1.3904915979614765,0.5056247407231742
IGHV3-53,1,5,3,12,6,11,10,2,21,29,1.0531881188118812,1.4234747639834016,0.3950102547934548
IGHV3-64,2,4,1,1,1,6,1,0,8,8,0.907920792079208,1.4928521492220088,0.45640628386311966
IGHV3-64D,0,5,0,6,2,5,1,4,11,12,0.94739560912613,1.3790222470051863,0.5056949411611706
IGHV3-66,10,1,7,0,3,14,8,2,18,27,1.0895049504950496,1.5863139510377031,0.84023320838185
IGHV3-72,4,6,0,0,3,4,2,1,10,10,0.907920792079208,1.5066752845136449,0.8974375976243035
IGHV3-73,2,0,2,0,5,4,5,1,4,15,1.433559145388223,1.9845566433879618,0.20142924641596424
IGHV3-74,14,15,6,8,5,16,12,0,43,33,0.7884575299635227,1.9703102787950435,0.16036630138556468
IGHV3/OR16-8,0,0,0,0,0,0,2,0,0,2,1.815841584158416,2.0,0.355917683749582
IGHV4-4,2,0,8,1,6,27,8,3,11,44,1.4526732673267326,1.9999486687766868,0.15600009589757893
IGHV4-28,1,0,0,0,0,1,0,0,1,1,0.907920792079208,1.5964098435772591,0.5894951179638312
IGHV4-30-2,2,12,8,35,5,11,34,5,57,55,0.8917079207920792,1.8334018487212738,0.7631131791000844
IGHV4-31,1,0,4,23,0,26,22,0,28,48,1.1468473163105783,1.8804164749882895,0.8910289578007615
IGHV4-34,12,18,3,28,9,34,62,12,61,117,1.1935587940816554,1.9976234974764482,0.15201829463714336
IGHV4-39,14,23,17,30,20,46,50,14,84,130,1.1030813361710003,1.927724671746844,0.018236951432153002
IGHV4-59,24,30,14,20,19,48,43,6,88,116,1.0325373713841972,1.4517126910533542,0.9537249856848987
IGHV4-61,2,17,3,11,2,26,2,1,33,31,0.8795482673267326,1.770587188559968,0.5681038308882125
IGHV5-10-1,0,5,0,5,1,20,12,3,10,36,1.421093413689195,1.9994531351409568,0.11021314732741953
IGHV5-51,15,15,9,17,7,17,23,7,56,54,0.8914131413141314,1.8310701073332436,0.3002555142998482
IGHV6-1,4,8,5,6,2,7,6,3,23,18,0.7971987442646704,1.8904962427322407,0.14509719364877033
