,CVID1,CVID2,CVID4,S-M044,S-M046,S-M047,S-M067,S-S054,S-S055,S-S057,S-S059,S-S061,cvidsum,ncvidsum,enrichment,hypergeo,ttest
IGHV1-2,0,0,6,0,7,1,28,17,5,6,1,13,6,78,0.4609836635384081,0.034386139624223,0.5454177862630858
IGHV1-3,2,5,3,20,1,3,13,11,23,3,10,4,10,88,0.6585480907691543,0.17726195061455535,0.4947611757603736
IGHV1-8,0,12,0,9,1,2,9,0,10,4,2,7,12,44,1.3829509906152242,0.1654715843324852,0.8324626007433339
IGHV1-18,4,15,2,25,10,9,28,16,26,9,12,17,21,152,0.7834057634698958,0.25363436341408824,0.038729840807334076
IGHV1-24,2,6,1,8,2,0,6,4,42,1,3,5,9,71,0.7260492700729927,0.37041819214579574,0.8833888576538896
IGHV1-45,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1.690103675786045,0.5884493383159479
IGHV1-46,0,4,4,16,10,2,13,5,21,7,4,18,8,96,0.49644394534905484,0.026502378672492354,0.14411665471064924
IGHV1-58,0,0,1,2,1,2,5,1,5,2,1,2,1,21,0.2933532404335324,0.24690273708886074,0.10291664968317628
IGHV1-69,0,0,3,0,1,0,12,0,1,0,0,0,3,14,1.138900815800773,0.5272526087925211,0.4414324520051036
IGHV1-69-2,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0.0,1.0197020455088952,0.5884493383159479
IGHV1-69D,7,22,11,38,11,14,20,16,9,10,10,19,40,147,1.38048583733427,0.022248660393898056,0.19043666520800226
IGHV2-5,1,14,1,14,4,1,9,3,18,7,7,11,16,74,1.1473371181400378,0.4442390489018153,0.6529907326792548
IGHV2-26,1,4,2,3,0,1,6,3,0,1,2,5,7,21,1.6134428223844282,0.11343456407077346,0.09784498745704767
IGHV2-70,1,5,0,3,6,3,8,9,30,4,2,2,6,67,0.5304469553044695,0.1015921119484084,0.19959215717309317
IGHV3-7,5,21,4,23,10,10,20,12,38,148,9,17,30,287,0.6107669990098782,0.0017007320048887497,0.5710651746184331
IGHV3-11,4,1,1,19,10,3,11,11,20,8,5,7,6,94,0.3872262773722628,0.006066173054598145,0.18151468397157838
IGHV3-13,0,0,0,3,1,0,6,1,6,1,0,5,0,23,0.0,0.04126079392538821,0.07197069946616702
IGHV3-15,3,45,7,22,7,7,16,18,18,4,7,9,55,108,2.1776528891078173,2.3144304250877212e-09,0.06053658061170436
IGHV3-20,0,1,0,3,2,0,3,4,9,1,2,5,1,29,0.2151257096512571,0.08247569082345957,0.03370264618883286
IGHV3-21,6,13,10,34,12,15,30,27,19,2,8,24,29,171,0.9357968369829683,0.7817113191752693,0.9674163126387084
IGHV3-23,8,35,11,44,21,20,71,35,51,16,22,31,54,311,0.9548045195480452,0.7683125913334587,0.3946875637908652
IGHV3-30,8,53,10,34,5,4,58,45,2,1,0,9,71,158,2.00095092383047,8.957061758962936e-10,0.08349423119603583
IGHV3-33,15,64,17,73,6,12,72,49,73,13,33,44,96,375,1.3154183520076868,0.0023605063484362088,0.14833387306292323
IGHV3-43,2,19,0,20,7,4,23,3,119,15,12,18,21,221,0.5600380044640164,0.0020034941742253063,0.3405094303620013
IGHV3-48,10,15,6,31,6,17,26,12,35,8,9,22,31,166,1.0155680709424828,0.828864994230829,0.6373030325211748
IGHV3-49,1,0,3,6,6,1,9,8,6,1,5,6,4,48,0.49644394534905484,0.15488746660842612,0.45189895907911426
IGHV3-53,1,0,2,11,6,2,10,4,25,3,4,9,3,74,0.2514456346573135,0.0024960073478557812,0.06878797090124059
IGHV3-64,0,0,0,6,1,0,1,2,6,0,0,1,0,17,0.0,0.11376295471893572,0.1309960089110386
IGHV3-64D,4,0,1,5,2,4,1,10,0,0,0,2,5,24,1.1127191878513298,0.5751771660072966,0.5066313070313246
IGHV3-66,1,0,1,14,3,2,8,8,10,2,1,5,2,53,0.23468259234682592,0.011260099519998902,0.050442039279990136
IGHV3-72,0,0,0,4,3,1,2,3,7,0,3,3,0,26,0.0,0.02483713446696006,0.021579857558316817
IGHV3-73,0,3,1,4,5,1,5,2,5,2,1,3,4,28,0.8067214111922141,0.8659382405423072,0.3587156720443093
IGHV3-74,2,8,5,16,5,0,12,8,20,3,4,11,15,79,1.0298571206709117,0.7654757422406795,0.48490654675443445
IGHV3/OR16-8,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,1.428175843673201,0.5884493383159479
IGHV4-4,6,17,1,27,6,3,8,2,21,8,11,11,24,97,1.2800868673463233,0.1512097004876123,0.542594326549191
IGHV4-28,0,0,0,1,0,0,0,0,1,1,1,0,0,4,0.0,1.0197020455088952,0.26377064566706293
IGHV4-30-4,5,15,4,11,5,5,34,15,0,2,9,4,24,85,1.4210138619165606,0.049967113883476966,0.32207207268191196
IGHV4-31,0,2,1,26,0,0,22,4,0,0,0,0,3,52,0.35202388852023886,0.04144946555048016,0.5811760289466055
IGHV4-34,19,24,33,34,9,12,62,12,25,14,14,43,76,225,1.6295236478566983,4.248480918400688e-06,0.012793045522253814
IGHV4-38-2,0,7,0,0,0,0,0,0,0,0,0,0,7,0,6.453771289537713,0.0,0.08155339870160568
IGHV4-39,3,33,12,46,20,14,50,18,37,20,18,25,48,248,1.046557506411521,0.6532882113561929,0.5194679725722575
IGHV4-59,10,21,12,48,19,6,43,21,39,19,11,23,43,229,1.020265314154859,0.8028467404094051,0.3010592581586533
IGHV4-61,1,4,0,26,2,1,2,15,40,5,6,19,5,116,0.266684764030484,0.00013070723511498172,0.10078292372118046
IGHV4/OR15-8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.453771289537713,0.0,0.08155339870160568
IGHV5-10-1,1,1,0,20,1,3,12,8,0,0,0,5,2,49,0.2530890701779495,0.019367211169625434,0.2665890390805524
IGHV5-51,4,9,4,17,7,7,23,8,10,10,8,16,17,106,0.891984649773505,0.7121865817058195,0.5753759971157858
IGHV6-1,0,2,0,7,2,3,6,9,10,2,0,6,2,45,0.27462856551224313,0.03296447707605908,0.033682191407489306
IGHV7-4-1,0,3,1,21,3,4,0,0,8,6,7,6,4,55,0.43754381623984495,0.0746073667359583,0.12814177380040068
