,gene_ids,feature_types,n_cells
GRCh38___AL627309.1,GRCh38___ENSG00000238009,Gene Expression,56
GRCh38___AL627309.2,GRCh38___ENSG00000239906,Gene Expression,10
GRCh38___AL669831.5,GRCh38___ENSG00000237491,Gene Expression,1144
GRCh38___FAM87B,GRCh38___ENSG00000177757,Gene Expression,33
GRCh38___LINC00115,GRCh38___ENSG00000225880,Gene Expression,2345
GRCh38___FAM41C,GRCh38___ENSG00000230368,Gene Expression,46
GRCh38___AL645608.3,GRCh38___ENSG00000230699,Gene Expression,15
GRCh38___SAMD11,GRCh38___ENSG00000187634,Gene Expression,6
GRCh38___NOC2L,GRCh38___ENSG00000188976,Gene Expression,17831
GRCh38___KLHL17,GRCh38___ENSG00000187961,Gene Expression,1113
GRCh38___PLEKHN1,GRCh38___ENSG00000187583,Gene Expression,324
GRCh38___PERM1,GRCh38___ENSG00000187642,Gene Expression,23
GRCh38___AL645608.8,GRCh38___ENSG00000272512,Gene Expression,197
GRCh38___HES4,GRCh38___ENSG00000188290,Gene Expression,1544
GRCh38___ISG15,GRCh38___ENSG00000187608,Gene Expression,49962
GRCh38___AL645608.2,GRCh38___ENSG00000224969,Gene Expression,166
GRCh38___AGRN,GRCh38___ENSG00000188157,Gene Expression,794
GRCh38___AL645608.9,GRCh38___ENSG00000273443,Gene Expression,17
GRCh38___C1orf159,GRCh38___ENSG00000131591,Gene Expression,3369
GRCh38___AL390719.2,GRCh38___ENSG00000272141,Gene Expression,3
GRCh38___TTLL10-AS1,GRCh38___ENSG00000205231,Gene Expression,5
GRCh38___TTLL10,GRCh38___ENSG00000162571,Gene Expression,22
GRCh38___TNFRSF18,GRCh38___ENSG00000186891,Gene Expression,2961
GRCh38___TNFRSF4,GRCh38___ENSG00000186827,Gene Expression,3577
GRCh38___SDF4,GRCh38___ENSG00000078808,Gene Expression,29273
GRCh38___B3GALT6,GRCh38___ENSG00000176022,Gene Expression,1026
GRCh38___C1QTNF12,GRCh38___ENSG00000184163,Gene Expression,271
GRCh38___AL162741.1,GRCh38___ENSG00000260179,Gene Expression,102
GRCh38___UBE2J2,GRCh38___ENSG00000160087,Gene Expression,16143
GRCh38___LINC01786,GRCh38___ENSG00000230415,Gene Expression,6
GRCh38___SCNN1D,GRCh38___ENSG00000162572,Gene Expression,308
GRCh38___ACAP3,GRCh38___ENSG00000131584,Gene Expression,4413
GRCh38___PUSL1,GRCh38___ENSG00000169972,Gene Expression,4444
GRCh38___INTS11,GRCh38___ENSG00000127054,Gene Expression,21797
GRCh38___CPTP,GRCh38___ENSG00000224051,Gene Expression,1623
GRCh38___TAS1R3,GRCh38___ENSG00000169962,Gene Expression,114
GRCh38___DVL1,GRCh38___ENSG00000107404,Gene Expression,1465
GRCh38___MXRA8,GRCh38___ENSG00000162576,Gene Expression,58
GRCh38___AURKAIP1,GRCh38___ENSG00000175756,Gene Expression,43151
GRCh38___CCNL2,GRCh38___ENSG00000221978,Gene Expression,16401
